929	3246	2054	3542	2823	1577	135	1514	1878	180	3354	1403	409	2767	1639	746	116	2392	4626	3209	2597	2346	1209	2455	526	628	1356	665	3800	328	4150	1809	1361	5043
901	3177	2294	3656	2851	1546	169	1616	1827	141	3392	1514	363	2496	1808	673	98	2378	4464	2879	2546	2383	1162	2295	462	651	1358	550	3896	305	4280	1795	1346	5106
957	2978	2630	3812	2917	1521	214	1734	1766	125	3501	1432	301	2285	1992	632	86	2325	4139	2510	2447	2246	1154	2205	430	674	1360	457	4131	297	4293	1845	1373	5079
1174	2822	2810	3914	2898	1511	274	1883	1750	124	3685	1489	262	2088	2162	594	85	2202	3856	2424	2494	2030	1174	2158	374	661	1380	373	4143	284	4258	1901	1361	5024
1396	2724	2914	4109	2780	1506	358	2016	1854	116	3815	1792	233	1827	2322	534	92	2198	3543	2875	2883	2004	1174	2073	328	617	1393	292	4290	264	4294	1918	1333	4954
1524	2590	2884	4215	2698	1470	447	2065	1961	99	3746	1872	213	1500	2506	503	115	2266	3079	3476	3361	1977	1216	1862	289	562	1375	233	4440	253	4313	1914	1258	4898
1530	2493	2828	4137	2753	1421	517	2087	1983	88	3542	1935	196	1374	2494	453	134	2300	2918	3550	3529	1800	1246	1622	245	491	1368	202	4353	239	4286	1962	1268	4759
1446	2396	2694	3993	2861	1341	539	2095	2050	78	3482	1931	183	1414	2439	376	157	2320	2778	3371	3524	1823	1294	1438	211	414	1385	216	4350	237	4187	2011	1370	4680
1326	2202	2401	3850	2981	1181	523	2093	2123	70	3603	2160	169	1423	2631	288	170	2239	2397	3192	3600	1854	1338	1278	174	311	1354	240	4199	216	4036	2011	1458	4611
1230	2012	2052	3664	3122	1114	491	2097	2172	61	3656	2617	150	1436	2696	199	134	2055	2150	2996	3639	1771	1409	1095	141	186	1315	214	4059	159	3870	1893	1414	4626
1169	1850	1826	3513	3367	1120	505	2082	2158	48	3732	3189	121	1637	2383	139	87	1885	2028	2582	3774	1630	1631	977	133	114	1303	178	4220	111	3711	1768	1350	4647
1169	1686	1731	3430	3506	1043	563	2050	2068	49	3705	3721	105	2005	2389	103	66	1712	1908	1868	3905	1578	1801	895	158	104	1231	177	4247	97	3523	1673	1397	4698
1210	1482	1583	3364	3554	944	593	1963	1994	57	3559	3997	89	2427	2342	62	56	1491	1796	1446	3892	1746	1832	772	162	93	1106	180	4110	77	3371	1491	1387	4596
1352	1329	1437	3299	3589	986	602	1887	1887	80	3360	4107	77	2771	1817	45	53	1315	1752	1235	3887	1876	2058	685	161	100	1030	194	4125	60	3140	1322	1340	4507
1548	1274	1306	3179	3453	1032	635	1904	1800	118	3160	3994	80	3203	1459	54	54	1239	1756	1140	3804	1961	2217	625	167	127	1008	218	4197	50	2962	1183	1304	4593
1807	1255	1218	3052	2998	992	700	1993	1837	189	2944	3751	115	3534	1293	84	64	1247	1724	1134	3811	1970	2100	606	177	207	1046	251	4073	52	2740	1099	1185	4666
2102	1177	1142	2901	2732	946	784	2016	1908	319	2670	3540	170	3637	1233	140	77	1254	1614	1178	3883	1916	1907	604	205	370	1063	355	3747	67	2511	1041	1180	4738
2205	1079	1176	2715	2522	951	881	2050	2027	491	2545	3473	268	3796	1191	217	82	1273	1522	1323	3916	1867	1840	588	249	647	1074	480	3537	91	2342	1022	1218	4749
2297	982	1231	2582	2127	1014	1026	2146	2186	620	2694	3351	383	3952	1211	232	90	1254	1585	1390	4013	1777	1810	572	295	933	1081	549	3526	108	2218	1040	1319	4810
2535	874	1170	2453	1716	1040	1115	2161	2245	683	2848	3195	483	4079	1224	215	95	1193	1626	1442	4067	1666	1776	509	316	1055	1055	514	3615	109	2020	958	1427	4796
2755	770	1079	2233	1511	1018	1158	2162	2189	762	2810	3106	585	4158	1188	237	105	1103	1654	1470	4071	1620	1648	440	328	1137	1000	457	3591	120	1807	836	1535	4716
2794	668	955	1990	1433	1000	1175	2189	2117	880	2666	3138	667	4219	1162	283	121	995	1736	1515	4068	1710	1598	386	346	1245	872	422	3637	126	1609	722	1559	4701
2708	561	827	1785	1178	940	1182	2281	2086	954	2516	3252	740	4214	1090	350	130	943	1830	1682	4185	1861	1535	324	359	1347	759	416	3781	108	1432	627	1469	4712
2560	511	779	1594	1044	894	1276	2358	2075	1000	2433	3321	762	4180	1007	457	124	910	1844	1903	4327	1939	1500	296	388	1467	722	423	3946	99	1294	591	1409	4641
2349	500	738	1422	1063	863	1350	2354	2027	1043	2323	3311	775	4138	917	542	105	857	1766	2147	4373	1954	1531	278	444	1519	708	416	4059	108	1186	526	1379	4573
