system	set of areas	va	hourly
	VARIABLES	BEGIN	END
	44	1	8736

system	hourly				OV. COST	OP. COST	MRG. PRICE	CO2 EMIS.	NH3 EMIS.	SO2 EMIS.	NOX EMIS.	PM2_5 EMIS.	PM5 EMIS.	PM10 EMIS.	NMVOC EMIS.	OP1 EMIS.	OP2 EMIS.	OP3 EMIS.	OP4 EMIS.	OP5 EMIS.	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	H. ROR	WIND	SOLAR	H. STOR	H. PUMP	H. LEV	H. INFL	H. OVFL	H. VAL	H. COST	UNSP. ENRG	SPIL. ENRG	LOLD	LOLP	NPCAP HOURS	AVL DTG	DTG MRG	MAX MRG	NP COST	RES LOAD	NODU	GAS_TH_PROD	OIL_TH_PROD
					Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	MWh	%	Euro/MWh	Euro	MWh	MWh	Hours	%	Hours	MWh	MWh	MWh	Euro	MWh	 	MWh	MWh
	index	day	month	hour																																												
	1	01	JAN	00:00	101000	101000	0	1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5993	0	3273	0	0	0	N/A	0	N/A	N/A	0	0	0	0	0	0	3500	1480	1480	0	2720	5	2020	0
	2	01	JAN	01:00	11550	11550	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5794	0	4863	0	0	0	N/A	0	N/A	N/A	0	0	0	0	0	0	3500	3269	3269	0	931	1	231	0
	3	01	JAN	02:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5753	0	5509	0	0	0	N/A	0	N/A	N/A	0	0	0	0	0	0	3500	3500	3500	0	244	0	0	0
	4	01	JAN	03:00	2950	2950	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6020	0	5261	0	0	0	N/A	0	N/A	N/A	0	0	0	0	0	0	3500	3441	3441	0	759	1	59	0
	5	01	JAN	04:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6397	0	5867	0	0	0	N/A	0	N/A	N/A	0	0	0	0	0	0	3500	3500	3500	0	530	0	0	0
	6	01	JAN	05:00	20600	20600	0	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7095	0	6057	0	0	0	N/A	0	N/A	N/A	0	0	0	0	0	0	3500	3088	3088	0	1038	1	412	0
	7	01	JAN	06:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7326	0	7583	0	0	0	N/A	0	N/A	N/A	0	0	0	0	0	0	3500	3500	3500	0	-257	0	0	0
	8	01	JAN	07:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7383	0	8078	0	0	0	N/A	0	N/A	N/A	0	0	0	0	0	0	3500	3500	3500	0	-695	0	0	0
