Area	area	de	weekly
	VARIABLES	BEGIN	END
	6	1	52

Area	weekly	thermal-1	thermal-2	thermal-1	thermal-2	thermal-1	thermal-2
		MWh	MWh	NP Cost - Euro	NP Cost - Euro	NODU	NODU
	week	EXP	EXP	EXP	EXP	EXP	EXP
	1	0	14280	0	0	0	168
	2	0	14280	0	0	0	168
	3	0	14280	0	0	0	168
	4	0	14280	0	0	0	168
	5	0	14280	0	0	0	168
	6	0	14280	0	0	0	168
	7	0	14280	0	0	0	168
	8	0	14280	0	0	0	168
	9	0	14280	0	0	0	168
	10	0	14280	0	0	0	168
	11	0	14280	0	0	0	168
	12	0	14280	0	0	0	168
	13	0	14280	0	0	0	168
	14	0	14280	0	0	0	168
	15	0	14280	0	0	0	168
	16	0	14280	0	0	0	168
	17	0	14280	0	0	0	168
	18	0	14280	0	0	0	168
	19	0	12600	0	0	0	126
	20	0	14280	0	0	0	168
	21	0	14280	0	0	0	168
	22	0	14280	0	0	0	168
	23	0	14280	0	0	0	168
	24	0	14280	0	0	0	168
	25	0	14280	0	0	0	168
	26	0	14280	0	0	0	168
	27	0	14280	0	0	0	168
	28	0	14280	0	0	0	168
	29	0	14280	0	0	0	168
	30	0	14280	0	0	0	168
	31	0	14280	0	0	0	168
	32	0	14280	0	0	0	168
	33	0	14280	0	0	0	168
	34	0	14280	0	0	0	168
	35	0	14280	0	0	0	168
	36	0	14280	0	0	0	168
	37	0	14280	0	0	0	168
	38	0	14280	0	0	0	168
	39	0	14280	0	0	0	168
	40	0	14280	0	0	0	168
	41	0	14280	0	0	0	168
	42	0	15400	0	0	0	154
	43	0	15400	0	0	0	154
	44	0	14280	0	0	0	168
	45	0	14280	0	0	0	168
	46	0	14280	0	0	0	168
	47	0	14280	0	0	0	168
	48	0	14280	0	0	0	168
	49	0	15400	0	0	0	154
	50	0	14280	0	0	0	168
	51	0	14280	0	0	0	168
	52	0	14280	0	0	0	168
