C	area	de	hourly
	VARIABLES	BEGIN	END
	9	1	8736

C	hourly				BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
					MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	index	day	month	hour	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	1	01	JAN	00:00	40250	22245	0	0	0	0	40	23	0
	2	01	JAN	01:00	40250	22016	21	0	0	0	40	24	0
	3	01	JAN	02:00	40250	20630	0	0	0	0	40	24	0
	4	01	JAN	03:00	40250	19739	0	0	0	0	40	24	0
	5	01	JAN	04:00	40250	17380	0	0	0	0	40	24	0
	6	01	JAN	05:00	40250	17429	0	0	0	0	40	24	0
	7	01	JAN	06:00	40250	15570	0	0	0	0	40	24	0
	8	01	JAN	07:00	40250	16630	0	0	0	0	40	24	0
	9	01	JAN	08:00	40250	17646	0	0	0	0	40	24	0
	10	01	JAN	09:00	40250	15814	0	0	0	0	40	24	0
	11	01	JAN	10:00	40250	18521	0	0	0	0	40	24	0
	12	01	JAN	11:00	40250	18901	0	0	0	0	40	24	0
	13	01	JAN	12:00	40250	19332	66	0	0	0	40	24	0
	14	01	JAN	13:00	40250	20986	148	0	0	0	40	24	0
	15	01	JAN	14:00	40250	22419	0	0	0	0	40	24	0
	16	01	JAN	15:00	40250	21936	403	0	0	0	40	24	0
	17	01	JAN	16:00	40250	24023	312	0	0	0	40	25	1
	18	01	JAN	17:00	40250	22791	701	0	0	0	40	25	1
	19	01	JAN	18:00	40250	25147	765	0	0	0	40	25	1
	20	01	JAN	19:00	40250	25303	778	0	0	0	40	26	1
	21	01	JAN	20:00	40250	25060	1130	0	0	0	40	26	1
	22	01	JAN	21:00	40250	24355	1022	0	0	0	40	26	1
	23	01	JAN	22:00	40250	22861	56	0	0	0	40	26	1
	24	01	JAN	23:00	40250	23743	436	0	0	0	40	26	1
	25	02	JAN	00:00	40167	23382	882	0	0	0	40	26	1
	26	02	JAN	01:00	40167	22711	718	0	0	0	40	26	1
	27	02	JAN	02:00	40167	21891	0	0	0	0	40	26	0
	28	02	JAN	03:00	40167	21534	284	0	0	0	40	26	0
	29	02	JAN	04:00	40167	20844	85	0	0	0	40	26	0
	30	02	JAN	05:00	40167	18949	71	0	0	0	40	26	0
	31	02	JAN	06:00	40167	19811	91	0	0	0	40	26	0
	32	02	JAN	07:00	40167	19628	0	0	0	0	40	26	0
	33	02	JAN	08:00	40167	20934	194	0	0	0	40	26	0
	34	02	JAN	09:00	40167	20804	0	0	0	0	40	26	0
	35	02	JAN	10:00	40167	21993	290	0	0	0	40	26	0
	36	02	JAN	11:00	40167	23383	0	0	0	0	40	26	0
	37	02	JAN	12:00	40167	23074	542	0	0	0	40	26	1
	38	02	JAN	13:00	40167	23894	705	0	0	0	40	26	1
	39	02	JAN	14:00	40167	25192	717	0	0	0	40	26	1
	40	02	JAN	15:00	40167	24970	915	0	0	0	40	27	1
	41	02	JAN	16:00	40167	26529	1742	0	0	0	40	27	2
	42	02	JAN	17:00	40167	25294	1336	0	0	0	40	27	2
	43	02	JAN	18:00	40167	26002	2014	0	0	0	40	27	2
	44	02	JAN	19:00	40167	25789	716	0	0	0	40	27	2
	45	02	JAN	20:00	40167	25767	2001	0	0	0	40	27	2
	46	02	JAN	21:00	40167	26428	1831	0	0	0	40	27	2
	47	02	JAN	22:00	40167	24851	1069	0	0	0	40	27	1
	48	02	JAN	23:00	40167	25393	248	0	0	0	40	27	1
	49	03	JAN	00:00	40333	26555	1538	0	0	0	40	27	2
	50	03	JAN	01:00	40333	26391	548	0	0	0	40	27	1
	51	03	JAN	02:00	40333	25186	1548	0	0	0	40	27	2
	52	03	JAN	03:00	40333	24510	160	0	0	0	40	27	0
	53	03	JAN	04:00	40333	23162	85	0	0	0	40	27	0
	54	03	JAN	05:00	40333	21671	152	0	0	0	40	27	0
	55	03	JAN	06:00	40333	23128	0	0	0	0	40	27	0
	56	03	JAN	07:00	40333	21828	292	0	0	0	40	27	1
	57	03	JAN	08:00	40333	22760	76	0	0	0	40	27	0
	58	03	JAN	09:00	40333	22091	1031	0	0	0	40	27	1
	59	03	JAN	10:00	40333	23358	798	0	0	0	40	27	1
	60	03	JAN	11:00	40333	21828	916	0	0	0	40	27	1
	61	03	JAN	12:00	40333	23304	962	0	0	0	40	27	1
	62	03	JAN	13:00	40333	25402	1043	0	0	0	40	27	1
	63	03	JAN	14:00	40333	25952	1175	0	0	0	40	27	2
	64	03	JAN	15:00	40333	24851	1609	0	0	0	40	27	2
	65	03	JAN	16:00	40333	26356	2600	0	0	0	40	27	3
	66	03	JAN	17:00	40333	25677	2274	0	0	0	40	27	3
	67	03	JAN	18:00	40333	25860	2673	0	0	0	40	27	4
	68	03	JAN	19:00	40333	26721	3354	0	0	0	40	27	4
	69	03	JAN	20:00	40333	26819	2862	0	0	0	40	27	4
	70	03	JAN	21:00	40333	25803	3095	0	0	0	40	27	3
	71	03	JAN	22:00	40333	24938	2122	0	0	0	40	27	3
	72	03	JAN	23:00	40333	24761	2414	0	0	0	40	27	3
	73	04	JAN	00:00	40250	26133	1485	0	0	0	40	27	2
	74	04	JAN	01:00	40250	24927	1156	0	0	0	40	27	1
	75	04	JAN	02:00	40250	25379	392	0	0	0	40	27	1
	76	04	JAN	03:00	40250	22999	976	0	0	0	40	27	1
	77	04	JAN	04:00	40250	23889	193	0	0	0	40	27	1
	78	04	JAN	05:00	40250	24222	1168	0	0	0	40	27	2
	79	04	JAN	06:00	40250	21906	706	0	0	0	40	27	1
	80	04	JAN	07:00	40250	23882	721	0	0	0	40	27	1
	81	04	JAN	08:00	40250	22044	71	0	0	0	40	27	1
	82	04	JAN	09:00	40250	21693	798	0	0	0	40	27	1
	83	04	JAN	10:00	40250	22935	809	0	0	0	40	27	1
	84	04	JAN	11:00	40250	24508	878	0	0	0	40	27	1
	85	04	JAN	12:00	40250	25408	954	0	0	0	40	27	1
	86	04	JAN	13:00	40250	24168	471	0	0	0	40	27	1
	87	04	JAN	14:00	40250	26592	911	0	0	0	40	27	2
	88	04	JAN	15:00	40250	26309	2032	0	0	0	40	27	2
	89	04	JAN	16:00	40250	26223	2500	0	0	0	40	27	3
	90	04	JAN	17:00	40250	25732	2415	0	0	0	40	27	3
	91	04	JAN	18:00	40250	26327	3240	0	0	0	40	27	4
	92	04	JAN	19:00	40250	26094	3440	0	0	0	40	27	4
	93	04	JAN	20:00	40250	26029	3156	0	0	0	40	27	4
	94	04	JAN	21:00	40250	26348	3194	0	0	0	40	27	3
	95	04	JAN	22:00	40250	25843	2891	0	0	0	40	27	3
	96	04	JAN	23:00	40250	26683	2273	0	0	0	40	27	3
	97	05	JAN	00:00	39917	25537	1771	0	0	0	40	27	2
	98	05	JAN	01:00	39917	24645	1103	0	0	0	40	27	1
	99	05	JAN	02:00	39917	23457	998	0	0	0	40	27	1
	100	05	JAN	03:00	39917	23958	278	0	0	0	40	27	1
	101	05	JAN	04:00	39917	22814	770	0	0	0	40	27	1
	102	05	JAN	05:00	39917	19168	683	0	0	0	40	27	1
	103	05	JAN	06:00	39917	19948	682	0	0	0	40	27	1
	104	05	JAN	07:00	39917	20231	32	0	0	0	40	27	1
	105	05	JAN	08:00	39917	20419	60	0	0	0	40	27	1
	106	05	JAN	09:00	39917	22132	659	0	0	0	40	27	1
