C	area	id	weekly
	VARIABLES	BEGIN	END
	58	1	52

C	weekly	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	BALANCE	BALANCE	LOAD	LOAD	H. ROR	H. ROR	WIND	WIND	SOLAR	SOLAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	COAL	COAL	GAS	GAS	OIL	OIL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. PUMP	H. PUMP	H. LEV	H. LEV	H. INFL	H. INFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	AVL DTG	AVL DTG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	NP COST	NP COST	NODU	NODU
		Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	MWh	MWh	%	%	Euro/MWh	Euro/MWh	Euro	Euro	MWh	MWh	MWh	MWh	Hours	Hours	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	 	 
	week	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max
	1	9	4	12	4	1	1	9	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	9	4	1	1	2	8	1	1	8	6	4	12	1	1	5	1	7	8	1	1	1	1	1	1	4	9	4	9	4	9	1	1	2	4
	2	5	4	12	4	1	1	5	4	4	12	1	1	1	1	1	1	4	9	1	1	1	1	1	4	5	7	1	1	3	10	1	1	8	5	4	12	1	1	5	1	5	10	1	4	1	1	1	4	4	9	4	5	4	5	1	1	8	11
	3	12	4	11	7	1	1	11	7	4	12	1	1	1	1	1	1	10	9	1	1	1	1	1	4	9	4	1	1	11	8	1	1	8	5	4	12	1	1	5	1	11	8	1	1	1	1	1	1	10	11	10	11	10	11	1	1	10	11
	4	10	4	11	6	1	1	8	12	4	12	1	1	1	1	1	1	10	9	1	1	1	1	1	6	11	4	1	1	4	5	1	1	8	5	4	12	1	1	5	1	4	1	1	1	1	1	1	1	2	11	2	11	2	11	1	1	8	11
	5	10	4	3	8	1	1	10	9	4	10	1	1	1	1	1	1	10	5	1	1	1	1	3	4	3	9	1	1	4	8	1	1	8	5	4	10	1	1	1	1	4	8	1	1	1	1	1	1	10	5	4	3	4	3	1	1	10	6
	6	10	9	12	9	1	1	11	8	4	10	1	1	1	1	1	1	10	4	1	1	1	1	6	9	12	8	1	1	11	8	1	1	8	5	4	10	1	1	1	1	11	8	1	1	1	1	1	1	10	12	9	12	9	12	1	1	10	12
	7	10	1	3	9	1	1	3	1	4	10	1	1	1	1	1	1	8	3	1	1	1	1	2	9	10	1	1	1	4	1	1	1	8	6	4	10	1	1	1	1	4	1	1	1	1	1	1	1	5	1	9	10	9	10	1	1	8	1
	8	10	2	3	2	1	1	10	1	4	10	1	1	1	1	1	1	8	3	1	1	1	1	3	11	10	12	1	1	4	1	1	1	8	6	4	10	1	1	1	8	4	1	1	1	1	1	1	1	8	3	2	10	2	10	1	1	8	3
	9	10	9	3	11	1	1	10	9	4	1	1	1	1	1	1	1	3	2	1	1	1	1	2	11	10	9	1	1	4	5	1	1	8	12	4	1	1	1	1	8	4	8	1	1	1	1	1	1	11	4	11	10	11	10	1	1	6	4
	10	7	2	3	5	1	1	4	8	4	1	1	1	1	1	1	1	3	5	1	1	1	1	1	6	5	2	1	1	4	1	1	1	8	12	4	1	1	1	1	8	4	8	1	1	1	1	1	1	6	12	2	7	2	7	1	1	6	12
	11	1	5	1	7	1	1	6	5	4	1	1	1	1	1	1	1	3	12	1	1	1	1	1	1	1	3	1	1	4	5	1	1	8	12	4	1	1	1	1	8	4	8	1	1	1	1	1	1	8	9	5	1	5	1	1	1	1	12
	12	1	5	3	9	1	1	3	5	4	1	1	1	1	1	1	1	2	12	1	1	1	1	1	1	1	11	1	1	4	5	1	1	8	12	4	1	1	1	1	8	4	8	1	1	1	1	1	1	7	1	5	1	5	1	1	1	1	12
	13	1	4	3	4	1	1	1	9	4	1	1	1	1	1	1	1	7	4	1	1	1	1	1	1	1	3	1	1	11	6	1	1	8	12	4	1	1	1	1	8	11	8	1	1	1	1	1	1	7	4	7	1	7	1	1	1	1	4
	14	1	4	1	4	1	1	1	8	11	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	3	1	1	4	8	1	1	8	12	11	1	1	1	1	8	4	8	1	1	1	1	1	1	10	9	4	1	4	1	1	1	1	4
	15	6	4	6	4	1	1	6	4	11	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	6	4	1	1	11	1	1	1	8	12	11	1	1	1	1	8	11	8	1	1	1	1	1	1	11	4	10	6	10	6	1	1	6	4
	16	9	10	5	10	1	1	9	10	11	1	1	1	1	1	1	1	5	7	1	1	1	1	1	1	7	10	1	1	4	10	1	1	8	12	11	1	1	1	1	8	4	8	1	1	1	1	1	1	10	7	10	7	10	7	1	1	9	10
	17	5	10	5	9	1	1	5	10	11	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	5	10	1	1	4	10	1	1	8	11	11	1	1	1	1	8	4	8	1	1	1	1	1	1	2	7	10	5	10	5	1	1	5	10
	18	5	11	12	11	1	1	7	9	11	10	1	1	1	1	1	1	6	8	1	1	1	1	1	1	10	11	1	1	7	5	1	1	8	7	11	10	1	1	1	8	7	8	1	1	1	1	1	1	7	3	11	5	11	5	1	1	5	9
	19	3	11	3	11	1	1	4	11	11	10	1	1	1	1	1	1	3	2	1	1	1	1	1	1	3	11	1	1	3	5	1	1	3	12	3	10	1	1	3	1	3	5	1	1	1	1	1	1	6	2	3	2	3	2	1	1	3	11
	20	8	4	8	4	1	1	1	4	11	10	1	1	1	1	1	1	1	4	1	1	1	1	1	1	8	4	1	1	7	5	1	1	8	12	11	10	1	1	1	8	7	8	1	1	1	1	1	1	6	2	4	8	4	8	1	1	1	4
	21	5	11	10	11	1	1	5	11	11	10	1	1	1	1	1	1	5	11	1	1	1	1	1	1	10	11	1	1	7	6	1	1	8	7	11	10	1	1	1	8	7	8	1	1	1	1	1	1	6	2	6	2	6	2	1	1	5	11
	22	5	1	5	1	1	1	5	10	11	8	1	1	1	1	1	1	5	7	1	1	1	1	1	1	5	1	1	1	7	10	1	1	8	7	11	8	1	1	1	8	7	8	1	1	1	1	1	1	1	10	1	5	1	5	1	1	6	7
	23	5	4	9	4	1	1	3	4	11	8	1	1	1	1	1	1	5	4	1	1	1	1	1	1	9	4	1	1	7	10	1	1	8	7	11	8	1	1	1	1	7	10	1	1	1	1	1	1	6	10	4	9	4	9	1	1	5	4
	24	9	12	10	12	1	1	4	8	11	8	1	1	1	1	1	1	9	1	1	1	1	1	1	1	9	12	1	1	7	5	1	1	8	7	11	8	1	1	1	1	7	5	1	1	1	1	1	1	6	10	12	10	12	10	1	1	4	7
	25	10	1	10	1	1	1	4	5	11	8	1	1	1	1	1	1	10	11	1	1	1	1	1	1	2	1	1	1	7	5	1	1	8	7	11	8	1	1	7	1	7	5	1	1	1	1	1	1	8	11	1	10	1	10	1	1	8	11
	26	8	1	9	2	1	1	4	10	4	8	1	1	1	1	1	1	8	9	1	1	1	1	1	1	5	2	1	1	7	10	1	1	8	7	4	8	1	1	7	1	7	10	1	1	1	1	1	1	1	12	1	12	1	12	1	1	8	11
	27	5	7	5	2	1	1	12	6	7	5	1	1	1	1	1	1	5	7	1	1	1	1	1	1	5	2	1	1	11	6	1	1	8	7	7	5	1	1	6	2	11	10	1	1	1	1	1	1	6	5	6	5	6	5	1	1	3	7
	28	5	7	5	11	1	1	12	6	7	5	1	1	1	1	1	1	5	6	1	1	1	1	1	1	5	11	1	1	11	6	1	1	8	12	7	5	1	1	1	2	11	10	1	1	1	1	1	1	9	5	6	5	6	5	1	1	9	3
	29	6	12	10	12	1	1	4	8	7	5	1	1	1	1	1	1	6	12	1	1	1	1	1	1	2	9	1	1	11	8	1	1	8	5	7	5	1	1	1	2	11	8	1	1	1	1	1	1	11	7	12	6	12	6	1	1	11	3
	30	4	3	4	3	1	1	4	3	7	5	1	1	1	1	1	1	4	3	1	1	1	1	1	1	1	3	1	1	7	10	1	1	8	5	7	5	1	1	1	3	7	8	1	1	1	1	1	1	11	4	3	4	3	4	1	1	8	3
	31	8	12	9	10	1	1	8	10	12	5	1	1	1	1	1	1	8	12	1	1	1	1	1	1	6	10	1	1	7	10	1	1	8	5	12	5	1	1	1	3	7	10	1	1	1	1	1	1	10	12	10	8	10	8	1	1	8	12
	32	8	12	8	1	1	1	8	1	12	8	1	1	1	1	1	1	8	11	1	1	1	1	1	1	8	1	1	1	7	5	1	1	4	5	12	8	1	1	1	3	7	9	1	1	1	1	1	1	5	3	10	8	10	8	1	1	8	11
	33	8	4	8	4	1	1	11	1	12	8	1	1	1	1	1	1	8	7	1	1	1	1	1	1	8	4	1	1	11	8	1	1	4	5	12	8	1	1	1	3	11	8	1	1	1	1	1	1	5	2	4	2	4	2	1	1	8	7
	34	5	2	5	2	1	1	5	2	12	8	1	1	1	1	1	1	5	12	1	1	1	1	1	1	5	2	1	1	7	8	1	1	4	5	12	8	1	1	1	3	7	8	1	1	1	1	1	1	8	1	2	6	2	6	1	1	8	2
	35	5	12	4	12	1	1	4	12	12	8	1	1	1	1	1	1	5	10	1	1	1	1	1	1	10	12	1	1	7	8	1	1	4	5	12	8	1	1	1	3	7	8	1	1	1	1	1	1	5	10	11	10	11	10	1	1	5	12
	36	8	5	10	5	1	1	8	5	12	5	1	1	1	1	1	1	7	10	1	1	1	1	1	1	10	5	1	1	7	5	1	1	4	5	12	5	1	1	1	3	7	10	1	1	1	1	1	1	7	10	5	10	5	10	1	1	8	5
	37	10	7	11	8	1	1	11	7	12	5	1	1	1	1	1	1	12	1	1	1	1	1	1	1	1	7	1	1	11	8	1	1	8	5	12	5	1	1	1	3	11	8	1	1	1	1	1	1	12	1	7	10	7	10	1	1	10	7
	38	4	7	4	7	1	1	4	7	12	5	1	1	1	1	1	1	2	3	1	1	1	1	1	1	4	7	1	1	11	8	1	1	8	5	12	5	1	1	1	3	11	8	1	1	1	1	1	1	5	1	7	4	7	4	1	1	4	7
	39	8	1	8	7	1	1	8	1	12	5	1	1	1	1	1	1	3	9	1	1	1	1	1	1	8	3	1	1	11	8	1	1	8	5	12	5	1	1	1	2	11	8	1	1	1	1	1	1	9	11	9	8	9	8	1	1	8	1
	40	8	7	8	7	1	1	8	6	2	6	1	1	1	1	1	1	2	10	1	1	1	1	1	1	10	7	1	1	12	8	1	1	8	5	2	6	1	1	1	2	12	8	1	1	1	1	1	1	2	10	2	10	2	10	1	1	8	7
	41	8	4	8	4	1	1	8	10	2	6	1	1	1	1	1	1	5	3	1	1	1	1	1	1	8	5	1	1	7	10	1	1	8	5	2	6	1	1	1	2	7	10	1	1	1	1	1	1	2	6	4	8	4	8	1	1	8	5
	42	6	3	6	7	1	1	8	10	2	8	1	1	1	1	1	1	6	11	1	1	1	1	1	1	6	3	1	1	6	10	1	1	6	5	6	8	1	1	6	2	6	10	1	1	1	1	1	1	8	11	6	9	6	9	1	1	6	10
	43	6	3	6	2	1	1	8	2	2	8	1	1	1	1	1	1	6	7	1	1	1	1	1	1	6	3	1	1	6	8	1	1	6	7	6	8	1	1	6	2	6	8	1	1	1	1	1	1	5	7	6	8	6	8	1	1	6	7
	44	8	11	8	11	1	1	8	9	2	6	1	1	1	1	1	1	9	7	1	1	1	1	1	11	8	11	1	1	4	8	1	1	8	6	2	6	1	1	5	2	12	8	1	1	1	1	1	1	11	6	11	6	11	6	1	1	8	7
	45	4	9	3	9	1	1	4	9	2	8	1	1	1	1	1	1	6	3	1	1	1	1	1	1	4	9	1	1	4	8	1	1	8	6	2	8	1	1	5	2	11	8	1	1	1	1	1	1	6	7	9	7	9	7	1	1	8	7
	46	5	9	8	1	1	1	5	9	2	8	1	1	1	1	1	1	2	9	1	1	1	1	2	1	5	1	1	1	7	8	1	1	8	6	2	8	1	1	5	2	7	8	1	1	1	1	1	1	4	9	1	8	1	8	1	1	6	9
	47	8	9	8	9	1	1	6	9	2	8	1	1	1	1	1	1	2	5	1	1	1	1	1	9	8	9	1	1	11	8	1	1	8	6	2	8	1	1	5	2	11	8	1	1	1	1	1	1	2	5	2	8	2	8	1	1	8	1
	48	10	12	8	5	1	1	10	1	7	8	1	1	1	1	1	1	9	6	1	1	1	1	1	5	10	11	1	1	11	8	1	1	8	6	7	8	1	1	5	1	7	8	1	1	1	1	1	1	5	6	3	8	3	8	1	1	10	2
	49	6	3	6	3	1	1	10	3	7	8	1	1	1	1	1	1	6	8	1	1	1	1	1	3	6	3	1	1	6	8	1	1	6	7	6	8	1	1	6	1	6	8	1	1	1	1	1	1	3	7	6	10	6	10	1	1	6	7
	50	1	12	5	7	1	1	2	12	7	8	1	1	1	1	1	1	9	5	1	1	1	1	1	7	1	12	1	1	11	8	1	1	8	6	7	8	1	1	5	1	11	8	1	1	1	1	1	1	11	2	7	2	7	2	1	1	9	12
	51	5	12	5	12	1	1	5	10	7	8	1	1	1	1	1	1	12	5	1	1	1	1	1	12	5	12	1	1	11	8	1	1	8	6	7	8	1	1	5	1	7	8	1	1	1	1	1	1	9	2	12	5	12	5	1	1	10	6
