C	area	va	weekly
	VARIABLES	BEGIN	END
	122	1	52

C	weekly	OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
		Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	week	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	1	452719393	435623293	34800155	392719920	528839815	56.74	9.48	50.00	78.39	10448557	0	0	0	0	0	0	0	11854293	407620	11193379	12592040	745852	179571	525504	1185456	0	0	0	0	0	0	0	0	0	0	0	0	6740000	293748	5976000	7056000	0	0	0	0	0	0	0	0	138933	315923	0	1163658	3772173	456693	2915198	4531744	0	0	0	0	457335	81848	326640	608236	0	0	0	0	60.01	9.89	46.62	74.67	319655	76966	225218	508067	0	0	0	0	37.50	4.33	30.00	40.00	17096100	3573450	13048650	24329427	0	0	0	0	0	0	0	0	0	0	0	0	0	13614000	376314	13008000	14472000	2962894	752046	1336598	4500802	2962894	752046	1336599	4500802	0	0	0	0	11378	350	10692	12118
	2	501863762	439365703	40300038	387135386	540418460	175.71	399.70	50.00	1501.07	10404815	0	0	0	0	0	0	0	11858882	444854	11026592	12578669	745852	179580	525504	1185492	0	0	0	0	0	0	0	0	0	0	0	0	6652000	404791	5976000	7224000	0	0	0	0	0	0	0	0	215897	452391	0	1617219	3785479	484627	2837108	4705668	0	0	0	0	457396	78758	368696	630116	0	0	0	0	58.48	9.69	42.88	72.66	319655	76965	225218	508065	0	0	0	0	37.96	3.76	30.00	40.00	17323059	3393123	13016528	25204652	2259	7491	0	27105	0	0	0	0	1.00	3.32	0	12.00	8.33	13428000	547416	12408000	14328000	2774624	909017	777162	4146892	2772366	913998	750057	4146892	0	0	0	0	11420	351	10754	12079
	3	444168499	427250064	21920318	399237438	472392476	55.64	7.80	50.00	69.82	10328716	0	0	0	0	0	0	0	11707834	320817	11361675	12518952	745867	179590	525504	1185492	0	0	0	0	0	0	0	0	0	0	0	0	6684000	315899	6096000	7200000	0	0	0	0	0	0	0	0	45403	76546	0	273661	3793556	395392	3173946	4507592	0	0	0	0	439008	70984	339071	564862	0	0	0	0	57.22	9.65	40.23	71.19	319655	76965	225218	508063	0	0	0	0	38.64	3.14	30.00	40.00	16918434	2867556	13562854	22594499	0	0	0	0	0	0	0	0	0	0	0	0	0	13482000	493814	12432000	14232000	2959041	495970	2307777	3741116	2959041	495970	2307777	3741116	0	0	0	0	11244	426	10451	11997
	4	436027143	419353608	14974168	394734493	447580775	54.49	7.12	50.00	68.04	10256272	0	0	0	0	0	0	0	11556757	305801	11067005	11902374	745870	179594	525504	1185492	0	0	0	0	0	0	0	0	0	0	0	0	6702000	231266	6408000	7056000	0	0	0	0	0	0	0	0	13581	21278	0	63666	3673943	320720	3261241	4376410	0	0	0	0	421363	65171	317278	532923	0	0	0	0	56.13	9.21	38.17	69.11	319655	76965	225219	508064	0	0	0	0	39.69	1.03	36.27	40.00	16673535	2353868	12691102	19884356	0	0	0	0	0	0	0	0	0	0	0	0	0	13548000	373288	12984000	14088000	3158476	396521	2419469	3770759	3158476	396522	2419469	3770759	0	0	0	0	11166	316	10738	11663
	5	448892877	431042466	15541755	401106048	454175982	57.99	8.55	50.00	71.96	10220710	0	0	0	0	0	0	0	11690384	321191	11092131	12231358	729582	147231	529850	1010916	0	0	0	0	0	0	0	0	0	0	0	0	6504000	381492	5424000	6888000	0	0	0	0	0	0	0	0	95846	110519	0	305468	3914695	217865	3555349	4292750	0	0	0	0	446260	72553	335582	577385	0	0	0	0	54.94	9.00	36.32	66.88	312675	63098	227055	433235	0	0	0	0	40.00	0	40.00	40.00	17850412	2902125	13423284	23095407	0	0	0	0	0	0	0	0	0	0	0	0	0	13170000	434562	12384000	13848000	2655458	417698	1918961	3308651	2655458	417698	1918961	3308651	0	0	0	0	11039	396	10051	11497
	6	444965959	427013074	20150611	390166141	460866784	54.39	6.03	50.00	69.64	10301251	0	0	0	0	0	0	0	11672588	380909	11047679	12366096	717363	161957	533030	1137528	0	0	0	0	0	0	0	0	0	0	0	0	6654000	280250	6000000	7104000	0	0	0	0	0	0	0	0	50098	83682	0	296835	3802305	318696	2969911	4281974	0	0	0	0	448822	75815	323967	597456	0	0	0	0	53.56	8.90	33.69	64.07	307442	69406	228431	487501	0	0	0	0	40.00	0	40.00	40.00	17952884	3032602	12958675	23898236	0	0	0	0	0	0	0	0	0	0	0	0	0	13350000	442769	12312000	13800000	2843597	528631	1578365	3774089	2843597	528631	1578365	3774090	0	0	0	0	11236	368	10280	11688
	7	440568692	422953958	23627073	370503918	460339471	52.56	4.96	50.00	68.39	10314023	0	0	0	0	0	0	0	11616839	367475	11103613	12465300	717371	161954	532980	1137528	0	0	0	0	0	0	0	0	0	0	0	0	6726000	295425	6144000	7176000	0	0	0	0	0	0	0	0	29633	59214	0	213674	3703466	533917	2470878	4266452	0	0	0	0	440368	67372	346431	579731	0	0	0	0	52.27	8.74	31.95	61.88	307442	69406	228431	487501	0	0	0	0	40.00	0	40.00	40.00	17614733	2694863	13857259	23189247	0	0	0	0	0	0	0	0	0	0	0	0	0	13542000	242017	13008000	13920000	3082901	477715	2410256	4153122	3082901	477715	2410256	4153121	0	0	0	0	11275	227	10721	11631
	8	443010906	425526296	27150825	357113868	453493079	57.31	8.40	50.00	71.96	10224502	0	0	0	0	0	0	0	11597152	427911	10785684	12249792	717362	161935	532980	1137452	0	0	0	0	0	0	0	0	0	0	0	0	6586000	339193	6048000	7128000	0	0	0	0	0	0	0	0	72667	93821	0	267240	3784058	583319	2287077	4248756	0	0	0	0	437065	68965	343802	547092	0	0	0	0	50.93	8.31	30.66	60.36	307442	69406	228430	487499	0	0	0	0	40.01	0.03	40.00	40.11	17484610	2759043	13752065	21883697	0	0	0	0	0	0	0	0	0	0	0	0	0	13390000	327530	12984000	14160000	2947274	659076	2329785	4408923	2947275	659077	2329785	4408923	0	0	0	0	11112	268	10660	11536
