Area-2	area	de	weekly
	VARIABLES	BEGIN	END
	3	1	52

Area-2	weekly	thermal-3	thermal-3	thermal-3
		MWh	NP Cost - Euro	NODU
	week	EXP	EXP	EXP
	1	13067	0	131
	2	16800	0	168
	3	16800	0	168
	4	16800	0	168
	5	16800	0	168
	6	16800	0	168
	7	16800	0	168
	8	16800	0	168
	9	16800	0	168
	10	16800	0	168
	11	16800	0	168
	12	16800	0	168
	13	16800	0	168
	14	16800	0	168
	15	16800	0	168
	16	16800	0	168
	17	16800	0	168
	18	16800	0	168
	19	16800	0	168
	20	16800	0	168
	21	16800	0	168
	22	16800	0	168
	23	16800	0	168
	24	16800	0	168
	25	16800	0	168
	26	16800	0	168
	27	16800	0	168
	28	16800	0	168
	29	16800	0	168
	30	16800	0	168
	31	16800	0	168
	32	16800	0	168
	33	16800	0	168
	34	16800	0	168
	35	16800	0	168
	36	16800	0	168
	37	16800	0	168
	38	16800	0	168
	39	16800	0	168
	40	16800	0	168
	41	16800	0	168
	42	16800	0	168
	43	16800	0	168
	44	16800	0	168
	45	16800	0	168
	46	16800	0	168
	47	16800	0	168
	48	16800	0	168
	49	16800	0	168
	50	16800	0	168
	51	16800	0	168
	52	11200	0	112
