Area	area	de	weekly
	VARIABLES	BEGIN	END
	3	1	52

Area	weekly	thermal-1	thermal-1	thermal-1
		MWh	NP Cost - Euro	NODU
	week	EXP	EXP	EXP
	1	10453	0	131
	2	13440	0	168
	3	13440	0	168
	4	13440	0	168
	5	13440	0	168
	6	13440	0	168
	7	13440	0	168
	8	13440	0	168
	9	13440	0	168
	10	13440	0	168
	11	13440	0	168
	12	13440	0	168
	13	13440	0	168
	14	13440	0	168
	15	13440	0	168
	16	13440	0	168
	17	13440	0	168
	18	13440	0	168
	19	13440	0	168
	20	13440	0	168
	21	13440	0	168
	22	13440	0	168
	23	13440	0	168
	24	13440	0	168
	25	13440	0	168
	26	13440	0	168
	27	13440	0	168
	28	13440	0	168
	29	13440	0	168
	30	13440	0	168
	31	13440	0	168
	32	13440	0	168
	33	13440	0	168
	34	13440	0	168
	35	13440	0	168
	36	13440	0	168
	37	13440	0	168
	38	13440	0	168
	39	13440	0	168
	40	13440	0	168
	41	13440	0	168
	42	13440	0	168
	43	13440	0	168
	44	13440	0	168
	45	13440	0	168
	46	13440	0	168
	47	13440	0	168
	48	13440	0	168
	49	13440	0	168
	50	13440	0	168
	51	13440	0	168
	52	8960	0	112
