C	area	de	weekly
	VARIABLES	BEGIN	END
	9	1	52

C	weekly	BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
		MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	week	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	1	5117333	3077458	59993	0	0	0	5117	3534	94
	2	6578667	3919860	86832	0	0	0	6579	4538	117
	3	6682667	3914828	57426	0	0	0	6683	4581	74
	4	6680000	3973114	36796	0	0	0	6680	4628	53
	5	6789333	3737706	66526	0	0	0	6789	4476	87
	6	6808000	3356057	9003	0	0	0	6808	4513	12
	7	6829333	3266639	1296	0	0	0	6829	4484	2
	8	6829333	3547770	48136	0	0	0	6829	4398	72
	9	6725333	3279229	8723	0	0	0	6725	4397	12
	10	6506667	3276771	14761	0	0	0	6507	4372	22
	11	6392000	3286343	3054	0	0	0	6392	4488	4
	12	6596364	2747089	303	0	0	0	6597	4035	1
	13	6635418	2557827	0	0	0	0	6637	3753	0
	14	6687760	2029469	0	0	0	0	6688	3119	0
	15	6468752	1884702	43	0	0	0	6472	2760	0
	16	6409972	1647791	0	0	0	0	6413	2527	0
	17	6570211	1326245	0	0	0	0	6581	1979	0
	18	6569930	742291	0	0	0	0	6696	1071	0
	19	6617447	465814	0	0	0	0	6813	642	0
	20	6439804	524574	0	0	0	0	6624	718	0
	21	6374855	357381	0	0	0	0	6668	483	0
	22	6351905	157532	0	0	0	0	6666	209	0
	23	6065638	187019	0	0	0	0	6606	254	0
	24	5772255	74827	0	0	0	0	6638	99	0
	25	5770778	40304	0	0	0	0	6607	54	0
	26	5785288	26565	0	0	0	0	6609	35	0
	27	5752503	36747	0	0	0	0	6567	50	0
	28	5575855	54593	0	0	0	0	6495	85	0
	29	5721931	60997	0	0	0	0	6561	79	0
	30	5889569	26493	0	0	0	0	6672	37	0
	31	5960383	56504	0	0	0	0	6782	77	0
	32	5902858	62263	0	0	0	0	6767	80	0
	33	5939030	58649	0	0	0	0	6599	81	0
	34	6154719	255418	0	0	0	0	6438	354	0
	35	6348307	414013	0	0	0	0	6522	573	0
	36	6336278	238159	0	0	0	0	6607	347	0
	37	6488952	445468	0	0	0	0	6741	626	0
	38	6570262	590883	0	0	0	0	6701	757	0
	39	6465888	1087314	0	0	0	0	6501	1616	0
	40	6397418	1441836	0	0	0	0	6424	2167	0
	41	6459425	1819057	0	0	0	0	6475	2655	0
	42	6550302	1796985	0	0	0	0	6557	2844	0
	43	6664957	1988750	0	0	0	0	6669	3064	0
	44	6770714	1929254	0	0	0	0	6776	3209	0
	45	6826667	2191098	0	0	0	0	6827	3730	0
	46	6770667	2513732	0	0	0	0	6771	4069	0
	47	6781333	2821588	0	0	0	0	6781	4300	0
	48	6706667	3111375	1482	0	0	0	6707	4218	2
	49	6824000	3105773	618	0	0	0	6824	4240	1
	50	6632000	3599622	49305	0	0	0	6632	4445	68
	51	6589333	3703196	22696	0	0	0	6589	4596	29
	52	4456000	2212287	29716	0	0	0	4456	2920	41
