C	area	va	hourly
	VARIABLES	BEGIN	END
	122	1	8736

C	hourly				OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
					Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	index	day	month	hour	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	1	01	JAN	00:00	2024406	2010961	1079288	0	2750800	42.22	24.39	0	80.00	48398	0	0	0	0	0	0	0	68808	2661	65159	74833	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	18441	10202	0	28416	0	0	0	0	336	951	0	3025	0	0	0	0	48.09	27.15	0	76.06	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	13444	38027	0	121000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	14225	8107	0	23723	14079	8242	0	23723	0	0	0	0	50	27	0	67
	2	01	JAN	01:00	1973334	1964490	1056268	0	2715000	42.22	24.39	0	80.00	47841	0	0	0	0	0	0	0	67447	2598	63863	72980	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	17512	9806	0	27000	0	0	0	0	221	422	0	1172	0	0	0	0	48.10	27.16	0	76.09	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	8844	16879	0	46880	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	15155	8692	0	25837	14934	8593	0	25019	0	0	0	0	50	27	0	67
	3	01	JAN	02:00	1912885	1887826	1020787	0	2715000	42.22	24.39	0	80.00	46921	0	0	0	0	0	0	0	66013	2736	62833	72118	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	15979	9228	0	27000	0	0	0	0	626	1665	0	5328	0	0	0	0	48.11	27.17	0	76.12	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	25060	66607	0	213136	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	16688	9629	0	26725	16061	9150	0	26049	0	0	0	0	50	27	0	67
	4	01	JAN	03:00	1844937	1789732	967498	0	2665350	38.89	20.79	0	50.00	45743	0	0	0	0	0	0	0	64659	2866	60811	70815	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	14017	8204	0	26007	0	0	0	0	1380	2693	0	7837	0	0	0	0	48.11	27.17	0	76.15	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	55206	107735	0	313468	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	18650	10698	0	28517	17270	9791	0	28071	0	0	0	0	50	27	0	67
	5	01	JAN	04:00	1808183	1781517	973518	0	2570350	38.89	20.79	0	50.00	45645	0	0	0	0	0	0	0	63640	2571	59535	68915	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	13853	8521	0	24107	0	0	0	0	889	2514	0	8000	0	0	0	0	48.12	27.17	0	76.10	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	26667	75425	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	18814	11065	0	33924	17925	10094	0	29347	0	0	0	0	50	27	0	67
	6	01	JAN	05:00	1787584	1767208	953762	0	2561150	38.89	20.79	0	50.00	45473	0	0	0	0	0	0	0	62774	2825	58381	68731	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	13566	8079	0	23923	0	0	0	0	509	1441	0	4585	0	0	0	0	48.13	27.18	0	76.13	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	20376	57632	0	183383	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	19100	10886	0	30501	18591	10525	0	30501	0	0	0	0	50	27	0	67
	7	01	JAN	06:00	1768630	1745816	950315	0	2533250	38.89	20.79	0	50.00	45216	0	0	0	0	0	0	0	62339	2714	58327	68173	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	13139	8163	0	23365	0	0	0	0	570	1613	0	5133	0	0	0	0	48.14	27.18	0	76.16	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	22814	64527	0	205324	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	19528	11395	0	35688	18958	10677	0	30555	0	0	0	0	50	27	0	67
	8	01	JAN	07:00	1751667	1725000	945796	0	2535400	38.89	20.79	0	50.00	44967	0	0	0	0	0	0	0	62168	2770	58319	68216	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	12722	8089	0	23408	0	0	0	0	889	2514	0	8000	0	0	0	0	48.15	27.18	0	76.11	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	26667	75425	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	19944	11723	0	35775	19056	10752	0	30563	0	0	0	0	50	27	0	67
	9	01	JAN	08:00	1758580	1707716	943860	0	2577550	38.89	20.79	0	50.00	44759	0	0	0	0	0	0	0	62662	2835	58663	69059	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	12377	8123	0	24251	0	0	0	0	1695	3177	0	8000	0	0	0	0	48.14	27.17	0	76.06	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	50864	95302	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	20290	11804	0	35628	18595	10548	0	30219	0	0	0	0	50	27	0	67
	10	01	JAN	09:00	1789068	1738720	959713	0	2585850	38.89	20.79	0	50.00	45131	0	0	0	0	0	0	0	63174	2557	60079	69225	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	12997	8498	0	24417	0	0	0	0	1481	2841	0	8000	0	0	0	0	48.14	27.17	0	76.01	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	50348	94406	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	19670	11800	0	35591	18189	10310	0	28803	0	0	0	0	50	27	0	67
	11	01	JAN	10:00	1849333	1849333	996179	0	2620250	38.89	20.79	0	50.00	46459	0	0	0	0	0	0	0	64053	2442	61306	69913	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	15209	8636	0	25105	0	0	0	0	0	0	0	0	0	0	0	0	48.16	27.18	0	76.04	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	17458	9941	0	27576	17458	9941	0	27576	0	0	0	0	50	27	0	67
	12	01	JAN	11:00	1873983	1847317	1010310	0	2660950	38.89	20.79	0	50.00	46434	0	0	0	0	0	0	0	65083	2504	61985	70727	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	15169	9201	0	25919	0	0	0	0	889	2514	0	8000	0	0	0	0	48.16	27.18	0	75.99	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	26667	75425	0	240000	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	17498	10563	0	33118	16609	9494	0	26897	0	0	0	0	50	27	0	67
	13	01	JAN	12:00	1922586	1921461	1034205	0	2715000	42.22	24.39	0	80.00	47324	0	0	0	0	0	0	0	65968	2622	62771	72061	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	16651	9346	0	27000	0	0	0	0	28	80	0	253	0	0	0	0	48.18	27.19	0	76.02	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	1124	3180	0	10120	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	16015	9206	0	26111	15987	9209	0	26111	0	0	0	0	50	27	0	67
	14	01	JAN	13:00	1969465	1944525	1045312	0	2715000	42.22	24.39	0	80.00	47601	0	0	0	0	0	0	0	67285	2457	64196	72835	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	17113	9668	0	27000	0	0	0	0	624	1437	0	4585	0	0	0	0	48.19	27.19	0	76.05	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	24940	57464	0	183383	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	15554	9024	0	24686	15026	8680	0	24686	0	0	0	0	50	27	0	67
	15	01	JAN	14:00	2026510	2012039	1079761	0	2715000	42.22	24.39	0	80.00	48411	0	0	0	0	0	0	0	68604	2532	65575	74617	4253	2107	0	6903	0	0	0	0	0	0	0	0	0	0	0	0	31111	16730	0	44000	0	0	0	0	0	0	0	0	0	0	0	0	18463	10160	0	27114	0	0	0	0	378	879	0	2809	0	0	0	0	48.20	27.20	0	76.08	1494	966	0	2958	0	0	0	0	28.89	15.95	0	40.00	14471	35055	0	112360	0	0	0	0	0	0	0	0	0	0	0	0	0	81778	2439	77000	85000	14204	8154	0	23307	14091	8169	0	23307	0	0	0	0	50	27	0	67
