C	area	va	monthly
	VARIABLES	BEGIN	END
	122	1	12

C	monthly		OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
			Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	index	month	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	1	JAN	1905998023	1829125533	215431834	1391031755	2059374655	52.42	8.03	39.35	66.65	43688649	0	0	0	0	0	0	0	52719686	1332195	50671474	54967642	3418153	992524	1850936	5135847	0	0	0	0	0	0	0	0	0	0	0	0	27960000	2791094	22896000	30528000	0	0	0	0	0	0	0	0	267913	289613	32609	1003343	16581850	2308888	11707661	19296476	0	0	0	0	2010518	529399	1355439	3097263	0	0	0	0	55.92	9.23	43.98	72.81	1409699	406319	793258	2201077	0	0	0	0	36.65	4.06	30.97	40.00	76872490	15930674	54217571	98993927	0	0	0	0	0	0	0	0	0	0	0	0	0	60128000	890914	58944000	61560000	12288904	1488454	9823188	14386509	12306583	1490171	9767085	14460643	0	0	0	0	47555	4948	37810	52057
	2	FEB	1720313652	1646958353	109675657	1485876168	1774021454	52.36	3.21	50.00	58.88	41000696	0	0	0	0	0	0	0	46056387	1077729	44297854	47637701	3166425	948329	2221849	4550000	0	0	0	0	0	0	0	0	0	0	0	0	27261333	527205	26424000	27936000	0	0	0	0	0	0	0	0	102479	155280	0	429568	13692268	2008451	10316684	15650012	0	0	0	0	1833882	402829	1254347	2654403	0	0	0	0	53.40	5.98	44.67	62.89	1357039	406427	952221	1950000	0	0	0	0	40.00	0	40.00	40.00	73355299	16113175	50173865	106176104	0	0	0	0	0	0	0	0	0	0	0	0	0	54760000	540341	53784000	55584000	13703920	2053733	11805816	16727834	13695211	2009885	11845757	16739559	0	0	0	0	45260	1068	42899	46699
	3	MAR	1760738509	1687903823	117019870	1443478222	1850778569	50.86	1.55	49.90	54.40	42870331	0	0	0	0	0	0	0	47471109	1566583	43840458	49295254	3205130	665401	2240841	4193947	0	0	0	0	0	0	0	0	0	0	0	0	29001697	721427	27624000	30408000	0	0	0	0	0	0	0	0	22456	41519	0	129330	13420959	2309920	8630322	16749444	0	0	0	0	1820867	365888	1113258	2369160	0	0	0	0	47.78	6.28	35.62	55.52	1246439	258767	871438	1630979	0	0	0	0	40.00	0	40.00	40.00	72834686	14635517	44530338	94766386	0	0	0	0	0	0	0	0	0	0	0	0	0	59024000	940468	56928000	60504000	16578888	2017994	13433226	19384475	16602314	2005064	13531015	19361448	0	0	0	0	47763	2312	41929	49925
	4	APR	1402823767	1342132388	75759285	1206539465	1466173227	49.64	0.34	48.77	50.00	37956550	0	0	0	0	0	0	0	40308287	1069474	38295143	41726351	3582001	801142	2752579	5034545	0	0	0	0	0	0	0	0	0	0	0	0	28014068	639574	27068846	29376178	0	0	0	0	0	0	0	0	43	122	0	388	7232731	1709042	4294485	9684265	0	0	0	0	1479444	292277	883591	1791876	0	0	0	0	43.86	6.79	30.04	51.68	1324850	296313	1018077	1862092	0	0	0	0	41.08	3.07	40.00	49.75	60691379	13226927	35343621	79387810	0	0	0	0	0	0	0	0	0	0	0	0	0	57381333	1330621	55680000	59328000	22134491	2168941	19163198	25999937	22092976	2154005	19147384	25945201	0	0	0	0	38956	2613	34495	43617
	5	MAY	1161306341	1112594059	74183655	1000136242	1235563318	44.79	2.94	37.92	47.94	35785612	0	0	0	0	0	0	0	36533330	1278430	34265043	38175419	4437547	1177952	2415000	6008451	0	0	0	0	0	0	0	0	0	0	0	0	28762158	700455	27800927	29748492	0	0	0	0	0	0	0	0	0	0	0	0	2118371	1219906	340178	4104806	0	0	0	0	1215255	186721	761994	1434282	0	0	0	0	47.29	7.11	36.13	55.17	1993681	529225	1085000	2699449	0	0	0	0	40.05	0.14	40.00	40.45	48712282	7530833	30479768	57371291	0	0	0	0	0	0	0	0	0	0	0	0	0	59994667	1106477	58248000	61752000	29114138	2161420	25761394	32434469	29129462	2146763	25825690	32429274	0	0	0	0	32629	1605	30252	35732
	6	JUN	938719935	903809624	28721265	858290121	964648880	38.40	1.86	35.48	41.19	30588967	0	0	0	0	0	0	0	30807736	893645	28953608	31910900	4226910	808382	2831763	5434436	0	0	0	0	0	0	0	0	0	0	0	0	25311861	531825	24505193	26256957	0	0	0	0	0	0	0	0	0	0	0	0	357890	299502	12167	913108	0	0	0	0	911075	165926	632682	1178475	0	0	0	0	58.75	7.83	48.87	69.70	2377637	454715	1592867	3056870	0	0	0	0	38.49	2.14	34.99	40.00	34910310	6256530	25307299	47139015	0	0	0	0	0	0	0	0	0	0	0	0	0	57573333	945791	56448000	59472000	31903583	1480151	29853935	34954640	31910164	1481574	29851785	34933024	0	0	0	0	28851	476	28000	29572
	7	JUL	933175886	895943541	50840402	834223117	985915295	37.01	2.35	35.00	41.86	30513244	0	0	0	0	0	0	0	30176103	1046046	28905746	31893840	3607374	455984	2814184	4190069	0	0	0	0	0	0	0	0	0	0	0	0	25335797	1138649	23834946	27063852	0	0	0	0	0	0	0	0	0	0	0	0	183813	281046	0	773609	0	0	0	0	1049119	175652	734530	1245117	0	0	0	0	69.77	7.41	61.52	81.58	1776766	224589	1386090	2063765	0	0	0	0	36.00	4.40	30.00	40.00	37232344	5474699	29381218	49217277	0	0	0	0	0	0	0	0	0	0	0	0	0	59685333	599567	58560000	60624000	34165723	1815275	31418538	36571645	34137148	1802764	31413766	36484032	0	0	0	0	29405	455	28717	30109
	8	AUG	1018854283	981745209	42192192	903899868	1050603542	40.51	1.95	37.14	43.51	32778229	0	0	0	0	0	0	0	31517894	1062780	29081790	32525313	2729200	745428	1744830	4304307	0	0	0	0	0	0	0	0	0	0	0	0	26919599	712383	25323887	27657994	0	0	0	0	0	0	0	0	0	0	0	0	791185	416365	146301	1662758	0	0	0	0	1077910	191374	834707	1434997	0	0	0	0	73.98	7.97	65.68	86.32	1114744	304471	712677	1758097	0	0	0	0	34.44	4.97	30.00	40.00	37109074	8718963	25695376	57399896	0	0	0	0	0	0	0	0	0	0	0	0	0	59717333	979520	57408000	60888000	32006550	1729452	29169510	34252837	32033114	1729214	29188765	34283434	0	0	0	0	30425	578	29340	31111
	9	SEP	1130081351	1086509135	45761410	1009709719	1152199552	45.47	1.92	42.42	48.17	34562261	0	0	0	0	0	0	0	33659819	749756	32518270	34706415	2386432	567412	1631919	3290400	0	0	0	0	0	0	0	0	0	0	0	0	27595066	516352	26354183	28269650	0	0	0	0	0	0	0	0	0	0	0	0	2413636	730537	1243509	3698783	0	0	0	0	1264684	173196	924142	1521595	0	0	0	0	73.30	8.74	63.60	88.23	1022756	243176	699394	1410171	0	0	0	0	34.67	4.80	30.00	40.00	43572216	6908084	36965672	60863814	0	0	0	0	0	0	0	0	0	0	0	0	0	57669333	931610	55752000	58896000	27660631	1576588	24417206	29907551	27649855	1579176	24407879	29907550	0	0	0	0	31821	967	30305	33316
	10	OCT	1462099003	1407940395	99828681	1228017269	1516619571	49.53	0.74	48.02	50.00	39483213	0	0	0	0	0	0	0	41191791	1348138	39454728	43677839	2805613	1051577	1518000	4485000	0	0	0	0	0	0	0	0	0	0	0	0	28958882	669649	27737692	30015328	0	0	0	0	0	0	0	0	0	0	0	0	7887591	2234597	3910091	10660198	0	0	0	0	1539705	224161	1124095	1933948	0	0	0	0	70.41	8.80	59.61	83.76	1260493	472447	682000	2015000	0	0	0	0	35.56	4.97	30.00	40.00	54158608	7984891	44963788	71491203	0	0	0	0	0	0	0	0	0	0	0	0	0	59357333	1280889	57192000	61128000	22510861	2688074	18428668	27693546	22501659	2664204	18411059	27603392	0	0	0	0	41060	3497	35285	45073
	11	NOV	1627346067	1564906638	48653219	1472541660	1631398997	49.99	0.14	49.79	50.29	41445350	0	0	0	0	0	0	0	44876732	785881	44058721	46611621	3122171	1027754	1587000	4485000	0	0	0	0	0	0	0	0	0	0	0	0	29059935	485242	28056000	29568000	0	0	0	0	0	0	0	0	1070	3027	0	9633	10954466	1082304	8757584	12409197	0	0	0	0	1739090	268820	1248369	2101306	0	0	0	0	67.58	8.93	56.12	80.37	1402715	461744	713000	2015000	0	0	0	0	36.26	4.56	30.00	40.00	62439429	9491329	49934767	84052259	0	0	0	0	0	0	0	0	0	0	0	0	0	58034667	704040	57024000	59232000	18019196	1524605	15770420	20648631	18062405	1509048	15869591	20704118	0	0	0	0	46167	1505	42674	47954
	12	DEC	1664067720	1602217957	194835089	1344720904	1878454050	48.08	6.81	38.33	58.42	39800221	0	0	0	0	0	0	0	48834061	1002513	47215458	49871537	3497615	855441	2206681	5012900	0	0	0	0	0	0	0	0	0	0	0	0	26410667	3288479	21600000	29688000	0	0	0	0	0	0	0	0	102747	150682	0	390140	13392497	2163159	10858459	16667257	0	0	0	0	1674100	285957	1286898	2193892	0	0	0	0	58.65	8.70	48.32	77.93	1408458	404307	945718	2148388	0	0	0	0	34.37	6.63	23.00	40.00	61849763	11417025	41364384	83413161	0	0	0	0	0	0	0	0	0	0	0	0	0	58234667	800968	56640000	59520000	13712756	2837653	10915182	18973541	13678748	2807093	10916621	18866295	0	0	0	0	43859	4815	36773	48720
