C	area	va	daily
	VARIABLES	BEGIN	END
	122	8	364

C	daily			OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
				Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	index	day	month	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	8	08	JAN	59744542	58422948	4844245	51461700	64661630	53.75	7.02	50.00	67.50	1437168	0	0	0	0	0	0	0	1598882	75941	1504869	1708135	112651	31917	59712	165672	0	0	0	0	0	0	0	0	0	0	0	0	944000	58788	864000	1032000	0	0	0	0	0	0	0	0	874	2472	0	7866	506261	114734	340434	642247	0	0	0	0	35097	22880	0	68586	0	0	0	0	60.64	8.55	44.80	75.41	48280	13679	25589	71003	0	0	0	0	37.78	4.16	30.00	40.00	1321595	920180	0	2743421	0	0	0	0	0	0	0	0	0	0	0	0	0	1933333	58909	1848000	2040000	482199	97763	357887	643876	462211	85966	344306	600877	0	0	0	0	1531	86	1367	1640
	9	09	JAN	65098616	62403219	5144513	54281024	70225727	56.94	9.97	50.00	77.50	1470255	0	0	0	0	0	0	0	1705151	88303	1533150	1818058	112651	31917	59712	165672	0	0	0	0	0	0	0	0	0	0	0	0	928000	62992	816000	1008000	0	0	0	0	0	0	0	0	9322	14736	0	37853	583549	101002	396820	692591	0	0	0	0	71629	26520	36434	107784	0	0	0	0	60.65	8.52	44.84	75.56	48280	13679	25589	71002	0	0	0	0	37.78	4.15	30.00	40.00	2695396	1052802	1457360	4311360	0	0	0	0	0	0	0	0	0	0	0	0	0	1914667	58545	1848000	2016000	393796	78299	296523	526602	397365	78510	298839	529263	0	0	0	0	1582	68	1487	1716
	10	10	JAN	69527278	65802727	5804254	58726382	75069197	62.64	13.10	50.00	80.00	1509600	0	0	0	0	0	0	0	1787605	104461	1632551	1908176	112652	31916	59712	165672	0	0	0	0	0	0	0	0	0	0	0	0	933333	54780	816000	1008000	0	0	0	0	0	0	0	0	30893	37114	0	93865	613292	77298	485728	696000	0	0	0	0	97434	30928	56808	150198	0	0	0	0	60.28	8.48	44.93	75.39	48280	13679	25589	71003	0	0	0	0	37.85	4.03	30.00	40.00	3724552	1358239	2104592	6007920	0	0	0	0	0	0	0	0	0	0	0	0	0	1925333	52797	1824000	2016000	347815	93239	218135	514895	368026	97997	235815	525426	0	0	0	0	1629	79	1514	1753
	11	11	JAN	69282281	65279110	5820040	58510943	76282080	62.92	12.64	50.00	80.00	1510925	0	0	0	0	0	0	0	1790137	108059	1663134	1957992	112654	31916	59712	165672	0	0	0	0	0	0	0	0	0	0	0	0	941333	60692	816000	1008000	0	0	0	0	0	0	0	0	25633	34771	0	109026	605636	88827	464619	696000	0	0	0	0	104881	34284	39337	161260	0	0	0	0	59.73	8.43	44.93	74.99	48280	13679	25589	71002	0	0	0	0	38.16	3.54	30.00	40.00	4003171	1385375	1573461	6450400	0	0	0	0	0	0	0	0	0	0	0	0	0	1930667	53200	1824000	2016000	358064	94599	202974	495381	368819	95381	222618	522487	0	0	0	0	1634	84	1507	1795
	12	12	JAN	66035181	63290257	5311722	57256950	73207200	58.89	11.63	50.00	80.00	1494712	0	0	0	0	0	0	0	1727313	96759	1624569	1919716	112655	31917	59712	165672	0	0	0	0	0	0	0	0	0	0	0	0	946667	54390	840000	1008000	0	0	0	0	0	0	0	0	12196	23758	0	75090	583624	95971	439539	691642	0	0	0	0	72171	24190	48237	119446	0	0	0	0	59.35	8.35	44.93	74.53	48280	13679	25589	71003	0	0	0	0	38.49	3.20	30.00	40.00	2744924	872009	1929473	4777840	0	0	0	0	0	0	0	0	0	0	0	0	0	1928000	48000	1848000	1992000	385513	92547	236910	526565	393324	93960	240022	535619	0	0	0	0	1617	71	1490	1731
	13	13	JAN	61404537	59604895	4820439	53164790	68827970	55.56	9.04	50.00	77.50	1448376	0	0	0	0	0	0	0	1632657	77597	1542138	1805167	112655	31917	59712	165672	0	0	0	0	0	0	0	0	0	0	0	0	941333	51571	864000	1008000	0	0	0	0	0	0	0	0	4318	11105	0	35614	526256	102669	374496	647577	0	0	0	0	48095	25714	14837	101595	0	0	0	0	59.20	8.25	45.06	74.16	48280	13679	25589	71002	0	0	0	0	38.75	3.12	30.00	40.00	1799642	814220	593480	3047850	0	0	0	0	0	0	0	0	0	0	0	0	0	1920000	40792	1872000	1992000	448093	90274	276809	571815	433320	81737	267955	558513	0	0	0	0	1594	52	1497	1657
	14	14	JAN	59508937	58389754	4444512	53063872	65908887	54.31	7.07	50.00	71.25	1436062	0	0	0	0	0	0	0	1590877	70115	1514190	1718585	112655	31917	59712	165672	0	0	0	0	0	0	0	0	0	0	0	0	944000	60926	840000	1056000	0	0	0	0	0	0	0	0	3596	9201	0	29549	501242	106880	329773	615700	0	0	0	0	29385	16665	1819	51321	0	0	0	0	59.29	8.20	45.20	74.10	48280	13679	25589	71003	0	0	0	0	38.85	3.13	30.00	40.00	1119183	617628	72760	2029966	0	0	0	0	0	0	0	0	0	0	0	0	0	1914667	44939	1848000	1992000	465829	78113	314751	582227	458243	81188	294435	563988	0	0	0	0	1595	56	1512	1680
	15	15	JAN	61553489	59953565	3569226	54255719	64366340	51.67	4.71	50.00	65.00	1455008	0	0	0	0	0	0	0	1636274	63045	1545126	1719227	112655	31917	59712	165672	0	0	0	0	0	0	0	0	0	0	0	0	944000	54259	840000	1032000	0	0	0	0	0	0	0	0	2903	8210	0	26123	533627	81594	396314	634236	0	0	0	0	43090	28123	11164	108932	0	0	0	0	59.42	8.13	45.56	74.05	48280	13679	25589	71002	0	0	0	0	38.85	3.13	30.00	40.00	1599924	864015	446560	3267960	0	0	0	0	0	0	0	0	0	0	0	0	0	1925333	46342	1848000	1992000	444804	65995	347641	542654	437999	59053	348124	523482	0	0	0	0	1591	48	1512	1670
