C	area	id	monthly
	VARIABLES	BEGIN	END
	58	1	12

C	monthly		OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	BALANCE	BALANCE	LOAD	LOAD	H. ROR	H. ROR	WIND	WIND	SOLAR	SOLAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	COAL	COAL	GAS	GAS	OIL	OIL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. PUMP	H. PUMP	H. LEV	H. LEV	H. INFL	H. INFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	AVL DTG	AVL DTG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	NP COST	NP COST	NODU	NODU
			Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	MWh	MWh	%	%	Euro/MWh	Euro/MWh	Euro	Euro	MWh	MWh	MWh	MWh	Hours	Hours	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	 	 
	index	month	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max	min	max
	1	JAN	1	2	1	7	1	1	1	7	3	4	1	1	1	1	1	1	5	2	1	1	1	1	1	7	1	2	1	1	2	4	1	1	1	4	3	4	1	1	1	2	2	7	1	1	1	1	1	1	7	2	5	4	5	4	1	1	1	2
	2	FEB	7	2	1	5	1	1	1	5	2	4	1	1	1	1	1	1	1	2	1	1	1	1	1	2	4	6	1	1	2	4	1	1	8	4	2	4	1	1	1	1	2	4	1	1	1	1	1	1	9	2	8	4	8	4	1	1	4	5
	3	MAR	4	6	4	6	1	1	4	6	6	1	1	1	1	1	1	1	9	8	1	1	1	1	1	6	4	6	1	1	2	4	1	1	3	1	6	1	1	1	1	1	2	4	1	1	1	1	1	1	4	8	6	4	6	4	1	1	4	8
	4	APR	4	6	4	8	1	1	2	6	6	7	1	1	1	1	1	1	3	9	1	1	1	1	1	8	4	6	1	1	2	7	1	1	3	1	6	7	1	1	1	3	2	3	1	1	1	1	1	1	8	9	8	4	8	4	1	1	4	6
	5	MAY	3	6	3	6	1	1	2	1	2	3	1	1	1	1	1	1	7	1	1	1	1	1	1	1	3	6	1	1	2	7	1	1	3	4	2	3	1	1	1	3	2	7	1	1	1	1	1	1	9	4	6	3	6	3	1	1	7	6
	6	JUN	5	8	5	4	1	1	2	7	2	3	1	1	1	1	1	1	5	8	1	1	1	1	1	1	5	8	1	1	2	7	1	1	8	7	2	3	1	1	7	1	2	3	1	1	1	1	1	1	4	5	8	5	8	5	1	1	4	5
	7	JUL	4	2	4	2	1	1	7	5	2	8	1	1	1	1	1	1	4	2	1	1	1	1	1	1	4	2	1	1	2	5	1	1	8	7	2	8	1	1	4	2	2	5	1	1	1	1	1	1	1	7	2	7	2	7	1	1	6	2
	8	AUG	1	2	3	2	1	1	1	3	2	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	2	1	1	4	5	1	1	2	4	2	3	1	1	1	2	4	5	1	1	1	1	1	1	5	3	5	1	5	1	1	1	1	2
	9	SEP	4	8	9	8	1	1	4	3	2	5	1	1	1	1	1	1	4	7	1	1	1	1	1	1	9	8	1	1	2	5	1	1	6	4	2	5	1	1	3	2	2	5	1	1	1	1	1	1	8	6	8	4	8	4	1	1	4	2
	10	OCT	3	1	3	9	1	1	3	9	2	3	1	1	1	1	1	1	8	7	1	1	1	1	1	1	3	1	1	1	2	4	1	1	6	9	2	3	1	1	3	1	2	5	1	1	1	1	1	1	1	7	1	3	1	3	1	1	3	1
	11	NOV	4	2	4	2	1	1	1	5	8	5	1	1	1	1	1	1	3	7	1	1	1	1	1	2	4	2	1	1	2	5	1	1	8	9	8	5	1	1	3	1	2	5	1	1	1	1	1	1	9	7	8	4	8	4	1	1	4	2
	12	DEC	7	8	7	2	1	1	5	3	8	5	1	1	1	1	1	1	9	4	1	1	1	1	4	2	4	8	1	1	2	4	1	1	8	4	8	5	1	1	9	1	9	5	1	1	1	1	1	1	2	4	7	4	7	4	1	1	7	8
