Area-2	area	va	monthly
	VARIABLES	BEGIN	END
	122	1	12

Area-2	monthly		OV. COST	OP. COST	OP. COST	OP. COST	OP. COST	MRG. PRICE	MRG. PRICE	MRG. PRICE	MRG. PRICE	CO2 EMIS.	BALANCE	BALANCE	BALANCE	BALANCE	ROW BAL.	PSP	MISC. NDG	LOAD	LOAD	LOAD	LOAD	H. ROR	H. ROR	H. ROR	H. ROR	WIND	WIND	WIND	WIND	SOLAR	SOLAR	SOLAR	SOLAR	NUCLEAR	NUCLEAR	NUCLEAR	NUCLEAR	LIGNITE	LIGNITE	LIGNITE	LIGNITE	COAL	COAL	COAL	COAL	GAS	GAS	GAS	GAS	OIL	OIL	OIL	OIL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MIX. FUEL	MISC. DTG	MISC. DTG	MISC. DTG	MISC. DTG	H. STOR	H. STOR	H. STOR	H. STOR	H. PUMP	H. PUMP	H. PUMP	H. PUMP	H. LEV	H. LEV	H. LEV	H. LEV	H. INFL	H. INFL	H. INFL	H. INFL	H. OVFL	H. OVFL	H. OVFL	H. OVFL	H. VAL	H. VAL	H. VAL	H. VAL	H. COST	H. COST	H. COST	H. COST	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	UNSP. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	SPIL. ENRG	LOLD	LOLD	LOLD	LOLD	LOLP	AVL DTG	AVL DTG	AVL DTG	AVL DTG	DTG MRG	DTG MRG	DTG MRG	DTG MRG	MAX MRG	MAX MRG	MAX MRG	MAX MRG	NP COST	NP COST	NP COST	NP COST	NODU	NODU	NODU	NODU
			Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Euro	Tons	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	%	%	%	%	MWh	MWh	MWh	MWh	%	%	%	%	Euro/MWh	Euro/MWh	Euro/MWh	Euro/MWh	Euro	Euro	Euro	Euro	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Hours	Hours	Hours	Hours	%	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	MWh	Euro	Euro	Euro	Euro	 	 	 	 
	index	month	EXP	EXP	std	min	max	EXP	std	min	max	EXP	EXP	std	min	max	values	EXP	EXP	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	values	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max	EXP	std	min	max
	1	JAN	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	28800	0	28800	28800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57600	0	57600	57600	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	28800	0	28800	28800	0	0	0	0	0	57600	0	57600	57600	0	0	0	0	28800	0	28800	28800	0	0	0	0	576	0	576	576
	2	FEB	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	33600	0	33600	33600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67200	0	67200	67200	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	33600	0	33600	33600	0	0	0	0	0	67200	0	67200	67200	0	0	0	0	33600	0	33600	33600	0	0	0	0	672	0	672	672
	3	MAR	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	37200	0	37200	37200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74400	0	74400	74400	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	37200	0	37200	37200	0	0	0	0	0	74400	0	74400	74400	0	0	0	0	37200	0	37200	37200	0	0	0	0	744	0	744	744
	4	APR	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	36000	0	36000	36000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72000	0	72000	72000	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	36000	0	36000	36000	0	0	0	0	0	72000	0	72000	72000	0	0	0	0	36000	0	36000	36000	0	0	0	0	720	0	720	720
	5	MAY	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	37200	0	37200	37200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74400	0	74400	74400	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	37200	0	37200	37200	0	0	0	0	0	74400	0	74400	74400	0	0	0	0	37200	0	37200	37200	0	0	0	0	744	0	744	744
	6	JUN	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	36000	0	36000	36000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72000	0	72000	72000	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	36000	0	36000	36000	0	0	0	0	0	72000	0	72000	72000	0	0	0	0	36000	0	36000	36000	0	0	0	0	720	0	720	720
	7	JUL	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	37200	0	37200	37200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74400	0	74400	74400	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	37200	0	37200	37200	0	0	0	0	0	74400	0	74400	74400	0	0	0	0	37200	0	37200	37200	0	0	0	0	744	0	744	744
	8	AUG	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	37200	0	37200	37200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74400	0	74400	74400	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	37200	0	37200	37200	0	0	0	0	0	74400	0	74400	74400	0	0	0	0	37200	0	37200	37200	0	0	0	0	744	0	744	744
	9	SEP	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	36000	0	36000	36000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72000	0	72000	72000	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	36000	0	36000	36000	0	0	0	0	0	72000	0	72000	72000	0	0	0	0	36000	0	36000	36000	0	0	0	0	720	0	720	720
	10	OCT	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	37200	0	37200	37200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74400	0	74400	74400	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	37200	0	37200	37200	0	0	0	0	0	74400	0	74400	74400	0	0	0	0	37200	0	37200	37200	0	0	0	0	744	0	744	744
	11	NOV	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	36000	0	36000	36000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72000	0	72000	72000	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	36000	0	36000	36000	0	0	0	0	0	72000	0	72000	72000	0	0	0	0	36000	0	36000	36000	0	0	0	0	720	0	720	720
	12	DEC	0	0	0	0	0	-0.00	0	-0.00	0.00	0	0	0	0	0	0	0	0	36000	0	36000	36000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66400	7920	55200	72000	0	0	0	0	0	0	0	0	N/A	N/A	N/A	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	0	0	0	0	0	0	0	33200	3960	27600	36000	0	0	0	0	0	71987	19	71960	72000	0	0	0	0	33200	3960	27600	36000	0	0	0	0	664	79	552	720
