C	area	de	daily
	VARIABLES	BEGIN	END
	9	8	364

C	daily			BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
				MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	index	day	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	8	08	JAN	944000	487997	0	0	0	0	944	581	0
	9	09	JAN	928000	587750	9992	0	0	0	928	642	15
	10	10	JAN	933333	612809	51151	0	0	0	933	657	69
	11	11	JAN	941333	609638	48117	0	0	0	941	656	65
	12	12	JAN	946667	580790	17388	0	0	0	947	654	23
	13	13	JAN	941333	516222	4104	0	0	0	941	647	5
	14	14	JAN	944000	478963	1773	0	0	0	944	645	4
	15	15	JAN	944000	520313	0	0	0	0	944	644	0
	16	16	JAN	944000	587444	8569	0	0	0	944	647	13
	17	17	JAN	957333	625964	27977	0	0	0	957	653	34
	18	18	JAN	962667	634901	28850	0	0	0	963	662	38
	19	19	JAN	976000	560461	10643	0	0	0	976	657	13
	20	20	JAN	952000	489815	5383	0	0	0	952	659	10
	21	21	JAN	946667	471935	0	0	0	0	947	659	0
	22	22	JAN	946667	524507	830	0	0	0	947	660	1
	23	23	JAN	957333	587781	19266	0	0	0	957	662	31
	24	24	JAN	960000	635083	29993	0	0	0	960	670	41
	25	25	JAN	957333	631379	21637	0	0	0	957	669	29
	26	26	JAN	954667	581441	4056	0	0	0	955	661	6
	27	27	JAN	952000	500758	0	0	0	0	952	656	0
	28	28	JAN	952000	473180	0	0	0	0	952	650	0
	29	29	JAN	954667	505908	0	0	0	0	955	646	0
	30	30	JAN	973333	568449	6170	0	0	0	973	649	8
	31	31	JAN	973333	613925	46615	0	0	0	973	645	66
	32	01	FEB	976000	595882	36084	0	0	0	976	635	42
	33	02	FEB	970667	536734	17704	0	0	0	971	633	24
	34	03	FEB	970667	453900	2963	0	0	0	971	632	4
	35	04	FEB	970667	417403	2496	0	0	0	971	635	3
	36	05	FEB	968000	443314	2204	0	0	0	968	635	3
	37	06	FEB	973333	518884	13805	0	0	0	973	645	21
	38	07	FEB	973333	573708	12818	0	0	0	973	664	18
	39	08	FEB	970667	564431	3670	0	0	0	971	656	5
	40	09	FEB	976000	477227	0	0	0	0	976	654	0
	41	10	FEB	976000	390691	0	0	0	0	976	636	0
	42	11	FEB	970667	364309	0	0	0	0	971	622	0
	43	12	FEB	968000	409259	0	0	0	0	968	642	0
	44	13	FEB	970667	487072	0	0	0	0	971	651	0
	45	14	FEB	976000	552075	5368	0	0	0	976	658	9
	46	15	FEB	984000	546693	3816	0	0	0	984	666	6
	47	16	FEB	978667	483749	0	0	0	0	979	647	0
	48	17	FEB	978667	405304	0	0	0	0	979	626	0
	49	18	FEB	973333	374599	0	0	0	0	973	597	0
	50	19	FEB	970667	435456	0	0	0	0	971	607	0
	51	20	FEB	976000	526786	6720	0	0	0	976	626	10
	52	21	FEB	978667	578670	10848	0	0	0	979	641	16
	53	22	FEB	984000	575679	13263	0	0	0	984	650	20
	54	23	FEB	984000	529114	12771	0	0	0	984	648	18
	55	24	FEB	973333	465434	7751	0	0	0	973	638	11
	56	25	FEB	962667	429963	3450	0	0	0	963	637	4
	57	26	FEB	962667	455889	1457	0	0	0	963	640	2
	58	27	FEB	965333	500863	3569	0	0	0	965	643	5
	59	28	FEB	978667	529307	8756	0	0	0	979	652	11
	60	01	MAR	970667	534921	5462	0	0	0	971	651	9
	61	02	MAR	954667	480467	1732	0	0	0	955	631	2
	62	03	MAR	946667	399923	0	0	0	0	947	608	0
	63	04	MAR	946667	365604	0	0	0	0	947	581	0
	64	05	MAR	938667	411452	0	0	0	0	939	583	0
	65	06	MAR	944000	488497	1332	0	0	0	944	608	2
	66	07	MAR	941333	553684	10722	0	0	0	941	626	19
	67	08	MAR	933333	554224	14599	0	0	0	933	636	19
	68	09	MAR	922667	480681	5755	0	0	0	923	638	9
	69	10	MAR	912000	407066	0	0	0	0	912	640	0
	70	11	MAR	914667	363520	0	0	0	0	915	637	0
	71	12	MAR	925333	391771	0	0	0	0	925	635	0
	72	13	MAR	917333	492107	3437	0	0	0	917	645	4
	73	14	MAR	901333	582779	9559	0	0	0	901	657	13
	74	15	MAR	904000	580559	551	0	0	0	904	664	1
	75	16	MAR	906667	490647	0	0	0	0	907	654	0
	76	17	MAR	914667	395176	0	0	0	0	915	633	0
	77	18	MAR	922667	342811	0	0	0	0	923	603	0
	78	19	MAR	925333	358891	0	0	0	0	925	604	0
	79	20	MAR	936000	441073	0	0	0	0	936	624	0
	80	21	MAR	933333	507842	1597	0	0	0	933	627	2
	81	22	MAR	938667	496022	982	0	0	0	939	623	1
	82	23	MAR	946667	400337	0	0	0	0	947	578	0
	83	24	MAR	960000	288768	0	0	0	0	960	513	0
	84	25	MAR	956364	251880	0	0	0	0	957	470	0
	85	26	MAR	954667	285888	0	0	0	0	955	498	0
	86	27	MAR	952000	392135	0	0	0	0	952	572	0
	87	28	MAR	952000	473732	0	0	0	0	952	618	0
	88	29	MAR	941333	473540	0	0	0	0	941	621	0
	89	30	MAR	938667	396591	0	0	0	0	939	566	0
	90	31	MAR	949333	302633	0	0	0	0	949	492	0
	91	01	APR	947418	233308	0	0	0	0	949	405	0
	92	02	APR	952000	256413	0	0	0	0	952	442	0
	93	03	APR	960000	343688	0	0	0	0	960	506	0
	94	04	APR	960000	399801	0	0	0	0	960	554	0
	95	05	APR	952000	385696	0	0	0	0	952	557	0
