C	area	de	monthly
	VARIABLES	BEGIN	END
	9	1	12

C	monthly		BASE	INT	PEAK	BASE	INT	PEAK	BASE	INT	PEAK
			MWh	MWh	MWh	NP Cost - Euro	NP Cost - Euro	NP Cost - Euro	NODU	NODU	NODU
	index	month	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP	EXP
	1	JAN	22842667	13387410	342513	0	0	0	22843	15631	469
	2	FEB	27261333	13622395	169512	0	0	0	27261	17916	234
	3	MAR	29001697	13385223	55727	0	0	0	29003	18735	82
	4	APR	28013668	7226737	1025	0	0	0	28040	11092	1
	5	MAY	28655348	2248319	0	0	0	0	29681	3125	0
	6	JUN	25185503	463012	0	0	0	0	28366	632	0
	7	JUL	25209079	284222	0	0	0	0	29130	397	0
	8	AUG	26833934	916160	0	0	0	0	29334	1249	0
	9	SEP	27506155	2480751	0	0	0	0	28406	3486	0
	10	OCT	28956240	7887858	0	0	0	0	29016	12074	0
	11	NOV	29059935	10957736	8519	0	0	0	29061	17110	14
	12	DEC	26410667	13306068	180832	0	0	0	26411	17305	250
